StartOfMonth,Scam___Contact_Mode,Amount_lost,Number_of_reports,Average_report,Average_loss,Group_Count,Category_ID,Complainant_ID,Report_ID
2020-01-01,Phone call,12999.0,9,9,1444,1,1,1,1
2020-04-01,Internet,10.0,3,3,3,1,1,2,2
2020-02-01,Internet,86.0,2,2,43,1,1,3,3
2020-01-01,Email,1770.0,10,10,177,1,2,4,4
2020-02-01,Email,29.0,9,9,3,1,2,5,5
2020-05-01,Email,0.0,12,12,0,1,2,2,6
2020-05-01,Email,26000.0,17,17,1529,1,2,3,7
2020-02-01,Phone call,5000.0,4,4,1250,1,2,4,8
2020-06-01,Phone call,2274.0,10,10,227,1,2,4,9
2020-05-01,Phone call,1500.0,7,7,214,1,2,6,10
2020-06-01,Phone call,5875.0,13,13,452,1,2,2,11
2020-06-01,Phone call,180.0,25,25,7,1,2,3,12
2020-06-01,Phone call,1850.0,16,16,116,1,2,7,13
2020-01-01,Phone call,2550.0,7,7,364,1,3,6,14
2020-02-01,Phone call,1000.0,11,11,91,1,3,6,15
2020-01-01,Email,83.0,5,5,17,1,3,2,16
2020-05-01,Email,5500.0,3,3,1833,1,3,5,17
2020-03-01,Phone call,1000.0,7,7,143,1,3,4,18
2020-03-01,Phone call,25000.0,7,7,3571,1,3,3,19
2020-01-01,Phone call,3783.0,10,10,378,1,3,7,20
2020-04-01,Email,137500.0,10,10,13750,1,4,3,21
2020-02-01,Phone call,42800.0,7,7,6114,1,4,8,22
2020-02-01,Phone call,15645.0,6,6,2608,1,4,9,23
2020-06-01,Phone call,11908.0,7,7,1701,1,4,9,24
2020-04-01,Phone call,28000.0,5,5,5600,1,4,4,25
2020-06-01,Phone call,50300.0,10,10,5030,1,4,4,26
2020-02-01,Phone call,9200.0,8,8,1150,1,4,5,27
2020-05-01,Phone call,162000.0,18,18,9000,1,4,5,28
2020-06-01,Phone call,48900.0,17,17,2876,1,4,5,29
2020-01-01,Phone call,25000.0,7,7,3571,1,4,6,30
2020-02-01,Phone call,20000.0,17,17,1176,1,4,6,31
2020-05-01,Phone call,19545.0,11,11,1777,1,4,6,32
2020-06-01,Phone call,3000.0,15,15,200,1,4,6,33
2020-03-01,Phone call,2766.0,14,14,198,1,4,2,34
2020-05-01,Phone call,18340.0,7,7,2620,1,4,2,35
2020-06-01,Phone call,37236.0,19,19,1960,1,4,2,36
2020-01-01,Phone call,24513.0,17,17,1442,1,4,3,37
2020-02-01,Phone call,24400.0,11,11,2218,1,4,3,38
2020-03-01,Phone call,17500.0,15,15,1167,1,4,3,39
2020-06-01,Phone call,1644.0,18,18,91,1,4,3,40
2020-02-01,Phone call,4000.0,2,2,2000,1,5,2,41
2020-05-01,Phone call,24.0,5,5,5,1,6,3,42
2020-02-01,Email,915.0,5,5,183,1,7,3,43
2020-05-01,Email,4640.0,6,6,773,1,7,3,44
2020-06-01,Email,23219.0,14,14,1658,1,7,3,45
2020-05-01,Email,16900.0,6,6,2817,1,7,7,46
2020-04-01,Email,2150.0,13,13,165,1,7,5,47
2020-01-01,Phone call,445.0,4,4,111,1,8,5,48
2020-03-01,Email,474.0,2,2,237,1,8,4,49
2020-03-01,Email,5140.0,3,3,1713,1,8,10,50
2020-04-01,Email,510.0,4,4,128,1,8,10,51
2020-02-01,Internet,83.0,2,2,42,1,8,6,52
2020-06-01,Internet,293.0,2,2,146,1,8,6,53
2020-01-01,Email,671.0,7,7,96,1,8,2,54
2020-02-01,Email,6719.0,6,6,1120,1,8,2,55
2020-05-01,Email,15000.0,3,3,5000,1,8,2,56
2020-06-01,Email,7100.0,4,4,1775,1,8,2,57
2020-02-01,Email,13775.0,6,6,2296,1,8,3,58
2020-05-01,Email,9474.0,6,6,1579,1,8,3,59
2020-05-01,Internet,738.0,5,5,148,1,8,3,60
2020-06-01,Internet,60.0,3,3,20,1,9,2,61
2020-01-01,Email,829.0,3,3,276,1,9,8,62
